cDC3_LAMP3,cDC_CLEC9A,cDC(CD1C),Macro_FOLR2-APOE+,Macro_FOLR2+APOE-,Macro_FOLR2+APOE+,Macro_IER3,Macro_IFI27,Macro_ISG15,Macro_LYVE1,Macro_NLRP3,Macro_OLFML3,Mast,Mono_CD14,Mono_CD16,Mono_INHBA,pDC_LILRA4
,,,,,RHOQ,,,,,,,,,,,
,,,,,MGMT,,,,,,,,,,,
,,,,,RPL27,,,,,,,,,,,
,,,,,MRPL54,,,,,,,,,,,
,,,,,ZNF385A,,,,,,,,,,,
,,,,,ATP5F1D,,,,,,,,,,,
,,,,,RPL3,,,,,,,,,,,
,,,,,RAB35,,,,,,,,,,,
,,,,,DNAJC8,,,,,,,,,,,
,,,,,SMIM4,,,,,,,,,,,
,,,,,KDELR1,,,,,,,,,,,
,,,,,PSMB8,,,,,,,,,,,
,,,,,PLXNC1,,,,,,,,,,,
,,,,,PSMB6,,,,,,,,,,,
,,,,,CSNK2B,,,,,,,,,,,
,,,,,QKI,,,,,,,,,,,
,,,,,MRPL57,,,,,,,,,,,
,,,,,LAMTOR1,,,,,,,,,,,
,,,,,TMEM230,,,,,,,,,,,
,,,,,UFC1,,,,,,,,,,,
,,,,,C15orf48,,,,,,,,,,,
,,,,,SECTM1,,,,,,,,,,,
,,,,,MRPL20,,,,,,,,,,,
,,,,,UBE2F,,,,,,,,,,,
,,,,,RPS3,,,,,,,,,,,
,,,,,GCC2,,,,,,,,,,,
,,,,,SEC11C,,,,,,,,,,,
,,,,,FGFR1OP2,,,,,,,,,,,
,,,,,CYBC1,,,,,,,,,,,
,,,,,PSMB2,,,,,,,,,,,
,,,,,KPNB1,,,,,,,,,,,
,,,,,ISCA2,,,,,,,,,,,
,,,,,NDUFV3,,,,,,,,,,,
,,,,,SARAF,,,,,,,,,,,
,,,,,SNRPC,,,,,,,,,,,
,,,,,THEMIS2,,,,,,,,,,,
,,,,,TMEM127,,,,,,,,,,,
,,,,,MVB12A,,,,,,,,,,,
,,,,,ATP5PB,,,,,,,,,,,
,,,,,FBXO6,,,,,,,,,,,
,,,,,TSEN34,,,,,,,,,,,
,,,,,LEPROT,,,,,,,,,,,
,,,,,SLC49A3,,,,,,,,,,,
,,,,,AURKAIP1,,,,,,,,,,,
,,,,,GTF3C6,,,,,,,,,,,
,,,,,STOML2,,,,,,,,,,,
,,,,,UGP2,,,,,,,,,,,
,,,,,SAMHD1,,,,,,,,,,,
,,,,,SELENOH,,,,,,,,,,,
,,,,,TMED2,,,,,,,,,,,
,,,,,TGOLN2,,,,,,,,,,,
,,,,,SNX17,,,,,,,,,,,
,,,,,NDUFB10,,,,,,,,,,,
,,,,,C20orf27,,,,,,,,,,,
,,,,,RPL26L1,,,,,,,,,,,
,,,,,ATG3,,,,,,,,,,,
,,,,,HSBP1,,,,,,,,,,,
,,,,,SEM1,,,,,,,,,,,
,,,,,CASP1,,,,,,,,,,,
,,,,,RPS16,,,,,,,,,,,
,,,,,TNFRSF1A,,,,,,,,,,,
,,,,,ABCG1,,,,,,,,,,,
,,,,,PPP1CA,,,,,,,,,,,
,,,,,VMA21,,,,,,,,,,,
,,,,,MPG,,,,,,,,,,,
,,,,,DCAF7,,,,,,,,,,,
,,,,,CEBPD,,,,,,,,,,,
,,,,,PSMD3,,,,,,,,,,,
,,,,,PPCS,,,,,,,,,,,
,,,,,UBAC1,,,,,,,,,,,
,,,,,TMCO1,,,,,,,,,,,
,,,,,TMEM208,,,,,,,,,,,
,,,,,ARSA,,,,,,,,,,,
,,,,,ALKBH7,,,,,,,,,,,
,,,,,NIPSNAP2,,,,,,,,,,,
,,,,,GOLGA4,,,,,,,,,,,
,,,,,RALA,,,,,,,,,,,
,,,,,DBNL,,,,,,,,,,,
,,,,,MCRIP1,,,,,,,,,,,
,,,,,OTULINL,,,,,,,,,,,
,,,,,MRPS34,,,,,,,,,,,
,,,,,RPL41,,,,,,,,,,,
,,,,,UBE2A,,,,,,,,,,,
,,,,,CAMTA1,,,,,,,,,,,
,,,,,SNRPB,,,,,,,,,,,
,,,,,CLPP,,,,,,,,,,,
,,,,,RBMS1,,,,,,,,,,,
,,,,,RPL23,,,,,,,,,,,
,,,,,APH1A,,,,,,,,,,,
,,,,,SMIM26,,,,,,,,,,,
,,,,,SMIM29,,,,,,,,,,,
,,,,,RPL7A,,,,,,,,,,,
,,,,,RPL19,,,,,,,,,,,
,,,,,MLF2,,,,,,,,,,,
,,,,,RPS11,,,,,,,,,,,
,,,,,TIMM13,,,,,,,,,,,
,,,,,NDUFS2,,,,,,,,,,,
,,,,,EIF2S2,,,,,,,,,,,
,,,,,RNF181,,,,,,,,,,,
,,,,,SNF8,,,,,,,,,,,
,,,,,MEA1,,,,,,,,,,,
,,,,,TXN2,,,,,,,,,,,
,,,,,CWC15,,,,,,,,,,,
,,,,,RPS2,,,,,,,,,,,
,,,,,KCTD12,,,,,,,,,,,
,,,,,GNB2,,,,,,,,,,,
,,,,,BAX,,,,,,,,,,,
,,,,,NDUFB4,,,,,,,,,,,
,,,,,SPATS2L,,,,,,,,,,,
,,,,,ELOC,,,,,,,,,,,
,,,,,UBE2E1,,,,,,,,,,,
,,,,,GIMAP1,,,,,,,,,,,
,,,,,ABRACL,,,,,,,,,,,
,,,,,RPL9,,,,,,,,,,,
,,,,,RAB14,,,,,,,,,,,
,,,,,MCRIP2,,,,,,,,,,,
,,,,,LRMDA,,,,,,,,,,,
,,,,,PARP12,,,,,,,,,,,
,,,,,ZNHIT1,,,,,,,,,,,
,,,,,CHCHD1,,,,,,,,,,,
,,,,,CD46,,,,,,,,,,,
,,,,,SRD5A3,,,,,,,,,,,
,,,,,DPYD,,,,,,,,,,,
,,,,,G3BP1,,,,,,,,,,,
,,,,,PECAM1,,,,,,,,,,,
,,,,,MSRB2,,,,,,,,,,,
,,,,,FDX1,,,,,,,,,,,
,,,,,RPS18,,,,,,,,,,,
,,,,,ASCL2,,,,,,,,,,,
,,,,,TNFAIP8L2,,,,,,,,,,,
,,,,,NAXE,,,,,,,,,,,
,,,,,CD151,,,,,,,,,,,
,,,,,IFI16,,,,,,,,,,,
,,,,,DICER1,,,,,,,,,,,
,,,,,PSENEN,,,,,,,,,,,
,,,,,LSM10,,,,,,,,,,,
,,,,,DMAC1,,,,,,,,,,,
,,,,,GNB1,,,,,,,,,,,
,,,,,RPL26,,,,,,,,,,,
,,,,,SNAP29,,,,,,,,,,,
,,,,,NHLRC3,,,,,,,,,,,
,,,,,RPL4,,,,,,,,,,,
,,,,,UBE2L3,,,,,,,,,,,
,,,,,WASHC3,,,,,,,,,,,
,,,,,RPS15,,,,,,,,,,,
,,,,,WASHC4,,,,,,,,,,,
,,,,,AP3S1,,,,,,,,,,,
,,,,,MINK1,,,,,,,,,,,
,,,,,RPL18,,,,,,,,,,,
,,,,,SNU13,,,,,,,,,,,
,,,,,IRF1,,,,,,,,,,,
,,,,,MRPL41,,,,,,,,,,,
,,,,,RAB8A,,,,,,,,,,,
,,,,,PSMA4,,,,,,,,,,,
,,,,,CD164,,,,,,,,,,,
,,,,,AKIP1,,,,,,,,,,,
,,,,,ATP6V1D,,,,,,,,,,,
,,,,,NUDT14,,,,,,,,,,,
,,,,,PTPA,,,,,,,,,,,
,,,,,VDAC3,,,,,,,,,,,
,,,,,VDAC1,,,,,,,,,,,
,,,,,GADD45GIP1,,,,,,,,,,,
,,,,,EMC10,,,,,,,,,,,
,,,,,LYN,,,,,,,,,,,
,,,,,GAS6,,,,,,,,,,,
,,,,,RCSD1,,,,,,,,,,,
,,,,,APOL6,,,,,,,,,,,
,,,,,UFD1,,,,,,,,,,,
,,,,,USF2,,,,,,,,,,,
,,,,,DNPEP,,,,,,,,,,,
,,,,,SKAP2,,,,,,,,,,,
,,,,,STAT2,,,,,,,,,,,
,,,,,SUSD6,,,,,,,,,,,
,,,,,FEZ2,,,,,,,,,,,
,,,,,MTCH2,,,,,,,,,,,
,,,,,CHST11,,,,,,,,,,,
,,,,,RPS6,,,,,,,,,,,
,,,,,TPMT,,,,,,,,,,,
,,,,,PARP9,,,,,,,,,,,
,,,,,KIAA0930,,,,,,,,,,,
,,,,,DHRSX,,,,,,,,,,,
,,,,,RAB9A,,,,,,,,,,,
,,,,,TAP2,,,,,,,,,,,
